"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"7-18","219 MONSIGNOR OBRIEN HWY","337","PARKING-LOT",12478.9999752,1010700,0,1010700,"1379267",7/5/2005,"",,"",0,""
"7-19","221 MONSIGNOR OBRIEN HWY","316","WAREHOUSE",11182.000104,1426800,9400,1436200,"1379267",7/5/2005,"STORAGE-WHSE",29983,"1",1910,"3"
"7-29","225 MONSIGNOR OBRIEN HWY","400","MANUFACTURNG",32681.9999088,3100900,269100,3370000,"  1377/ 128",11/24/2009,"INDUST-MFCTR",65704,"1",1920,"4"
"7-31","187-197 MONSIGNOR OBRIEN HWY","300","HOTEL",12930.0001776,4397100,11602900,16000000," 26596/  61",8/20/1996,"HOTEL",25993,"0",2002,"7"
"7-34","199 MONSIGNOR OBRIEN HWY","316","WAREHOUSE",10233.0002016,923000,369400,1292400," 39915/ 323",7/14/2003,"RETAIL-STORE",18000,"1",1870,"4"
"7-35","263 MONSIGNOR OBRIEN HWY","316","WAREHOUSE",16035.000102,1023000,20800,1043800," 20124/ 348",10/6/1989,"STORAGE-WHSE",10480,"1",1983,"1"
"7-37","241 MONSIGNOR OBRIEN HWY","334","GAS-STATION",19710.0000504,1582700,312100,1894800," 54357/ 456",3/2/2010,"MARKET",1257,"1",1956,"1"
"7-41","209 MONSIGNOR OBRIEN HWY","337","PARKING-LOT",6007.999932,512200,1600,513800," 60615/  60",11/30/2012,"",,"",0,""
"7-113","191R MONSIGNOR OBRIEN HWY","130","RES-DEV-LAND",104672.9998908,22579200,0,22579200," 60804/ 121",12/21/2012,"",0,"",0,"3"
"7-114","MONSIGNOR OBRIEN HWY","975","Vacnt Transport Authorit",13265.999802,2247300,0,2247300,"/",1/1/1900,"",0,"",0,""
"8-50","32 FIRST ST","930","Vacant City",133872.0001344,4270500,0,4270500,"/",1/1/1900,"",0,"",0,""
"8-61","4 CANAL PK","199","CONDO-BLDG",84083.9999868,0,0,0,"     0/   0",1/1/1900,"",59046,"",1998,""
"8-61","4 CANAL PK #C1","343","OFFICE-CONDO",0,0,1443600,1443600," 24857/ 494",9/15/1994,"Commercial Condo",4764,"AP",1986,"1"
"8-61","4-6 CANAL PK #101","1021","CNDO LUX",0,0,369300,369300," 56188/ 515",12/30/2010,"APARTMENT",843,"AP",1986,"1"
"8-61","4 CANAL PK #108","1021","CNDO LUX",0,0,379400,379400," 30160/ 149",1/13/1989,"APARTMENT",750,"AP",1986,"1"
"8-61","4 CANAL PK #109","1021","CNDO LUX",0,0,293500,293500," 57084/ 225",7/1/2011,"APARTMENT",491,"AP",1986,"1"
"8-61","4 CANAL PK #110","1021","CNDO LUX",0,0,385700,385700," 31660/ 320",7/31/2000,"APARTMENT",843,"AP",1986,"1"
"8-61","4 CANAL PK #111","1021","CNDO LUX",0,0,384800,384800," 59214/ 524",6/1/2012,"APARTMENT",840,"AP",1986,"1"
"8-61","4 CANAL PK #112","1021","CNDO LUX",0,0,386300,386300," 46340/ 216",10/25/2005,"APARTMENT",845,"AP",1986,"1"
"8-61","4 CANAL PK #201","1021","CNDO LUX",0,0,584400,584400," 55032/   9",7/23/2010,"APARTMENT",1377,"AP",1986,"1"
"8-61","4 CANAL PK #202","1021","CNDO LUX",0,0,506800,506800," 31670/ 467",8/1/2000,"APARTMENT",1176,"AP",1986,"1"
"8-61","4 CANAL PK #203","1021","CNDO LUX",0,0,291000,291000," 18951/  78",3/30/1988,"APARTMENT",538,"AP",1986,"1"
"8-61","4 CANAL PK #204","1021","CNDO LUX",0,0,405900,405900," 51137/ 594",5/6/2008,"APARTMENT",827,"AP",1986,"1"
"8-61","4 CANAL PK #205","1021","CNDO LUX",0,0,412700,412700," 55167/ 163",8/13/2010,"APARTMENT",931,"AP",1986,"1"
"8-61","4 CANAL PK #206","1021","CNDO LUX",0,0,443900,443900," 45867/ 419",8/18/2005,"APARTMENT",1029,"AP",1986,"1"
"8-61","4 CANAL PK #207","1021","CNDO LUX",0,0,440800,440800," 45223/ 424",5/23/2005,"APARTMENT",1019,"AP",1986,"1"
"8-61","4 CANAL PK #208","1021","CNDO LUX",0,0,400100,400100," 19055/ 552",5/18/1988,"APARTMENT",838,"AP",1986,"1"
"8-61","4 CANAL PK #209","1021","CNDO LUX",0,0,371300,371300," 49257/ 216",4/9/2007,"APARTMENT",850,"AP",1986,"1"
"8-61","4 CANAL PK #210","1021","CNDO LUX",0,0,282900,282900," 49833/ 479",7/25/2007,"APARTMENT",511,"AP",1986,"1"
"8-61","4 CANAL PK #211","1021","CNDO LUX",0,0,493500,493500," 24222/ 297",1/31/1994,"APARTMENT",1158,"AP",1986,"1"
"8-61","4 CANAL PK #212","1021","CNDO LUX",0,0,568500,568500," 49494/ 507",5/24/2007,"APARTMENT",1337,"AP",1986,"1"
"8-61","4 CANAL PK #301","1021","CNDO LUX",0,0,575700,575700," 33383/  91",8/2/2001,"APARTMENT",1355,"AP",1986,"1"
"8-61","4 CANAL PK #302","1021","CNDO LUX",0,0,561700,561700," 49494/ 358",5/24/2007,"APARTMENT",1182,"AP",1986,"1"
"8-61","4 CANAL PK #303","1021","CNDO LUX",0,0,293100,293100," 19367/  56",12/4/1992,"APARTMENT",545,"AP",1986,"1"
"8-61","4 CANAL PK #304","1021","CNDO LUX",0,0,375100,375100," 18968/ 191",4/6/1988,"APARTMENT",808,"AP",1986,"1"
"8-61","4 CANAL PK #305","1021","CNDO LUX",0,0,405200,405200," 42459/ 196",4/9/2004,"APARTMENT",827,"AP",1986,"1"
"8-61","4 CANAL PK #306","1021","CNDO LUX",0,0,549800,549800," 24818/ 101",8/30/1994,"APARTMENT",1208,"AP",1986,"1"
"8-61","4 CANAL PK #307","1021","CNDO LUX",0,0,548900,548900," 48312/ 233",10/12/2006,"APARTMENT",1206,"AP",1986,"1"
"8-61","4 CANAL PK #308","1021","CNDO LUX",0,0,404600,404600," 23994/  14",12/3/1993,"APARTMENT",825,"AP",1986,"1"
"8-61","4 CANAL PK #309","1021","CNDO LUX",0,0,425300,425300," 28496/ 176",4/19/1988,"APARTMENT",840,"AP",1986,"1"
"8-61","4 CANAL PK #310","1021","CNDO LUX",0,0,270000,270000," 28913/ 519",7/31/1998,"APARTMENT",510,"AP",1986,"1"
"8-61","4 CANAL PK #311","1021","CNDO LUX",0,0,545100,545100," 47757/  89",7/5/2006,"APARTMENT",1196,"AP",1986,"1"
"8-61","4 CANAL PK #312","1021","CNDO LUX",0,0,602300,602300," 19754/ 575",4/12/1989,"APARTMENT",1332,"AP",1986,"1"
"8-61","4 CANAL PK #401","1021","CNDO LUX",0,0,584800,584800," 47669/ 961",6/21/2006,"APARTMENT",1378,"AP",1986,"1"
"8-61","4 CANAL PK #402","1021","CNDO LUX",0,0,609500,609500," 49984/ 554",8/22/2007,"APARTMENT",1168,"AP",1986,"1"
"8-61","4 CANAL PK #403","1021","CNDO LUX",0,0,305000,305000," 54284/ 415",2/11/2010,"APARTMENT",525,"AP",1986,"1"
"8-61","4 CANAL PK #404","1021","CNDO LUX",0,0,398000,398000," 58052/  41",12/9/2011,"APARTMENT",805,"AP",1986,"1"
"8-61","4 CANAL PK #405","1021","CNDO LUX",0,0,374200,374200," 49747/ 575",7/9/2007,"APARTMENT",824,"AP",1986,"1"
"8-61","4 CANAL PK #406","1021","CNDO LUX",0,0,574500,574500," 59966/ 447",9/11/2012,"APARTMENT",1215,"AP",1986,"1"
"8-61","4 CANAL PK #407","1021","CNDO LUX",0,0,556100,556100," 45186/ 477",5/16/2005,"APARTMENT",1223,"AP",1986,"1"
"8-61","4 CANAL PK #408","1021","CNDO LUX",0,0,401600,401600," 30799/  33",10/27/1999,"APARTMENT",816,"AP",1986,"1"
"8-61","4 CANAL PK #409","1021","CNDO LUX",0,0,407100,407100," 36201/  83",8/23/2002,"APARTMENT",833,"AP",1986,"1"
"8-61","4 CANAL PK #410","1021","CNDO LUX",0,0,286600,286600," 56895/ 472",5/24/2011,"APARTMENT",523,"AP",1986,"1"
"8-61","4 CANAL PK #411","1021","CNDO LUX",0,0,556100,556100," 45406/ 475",6/17/2005,"APARTMENT",1223,"AP",1986,"1"
"8-61","4 CANAL PK #412","1021","CNDO LUX",0,0,607800,607800," 54097/ 420",1/4/2010,"APARTMENT",1345,"AP",1986,"1"
"8-61","4 CANAL PK #501","1021","CNDO LUX",0,0,581600,581600," 54010/ 392",12/17/2009,"APARTMENT",1370,"AP",1986,"1"
"8-61","4 CANAL PK #502","1021","CNDO LUX",0,0,548100,548100," 43184/ 336",6/30/2004,"APARTMENT",1204,"AP",1986,"1"
"8-61","4 CANAL PK #503","1021","CNDO LUX",0,0,277900,277900," 59838/  85",8/24/2012,"APARTMENT",534,"AP",1986,"1"
"8-61","4 CANAL PK #504","1021","CNDO LUX",0,0,406200,406200," 43577/ 596",8/24/2004,"APARTMENT",830,"AP",1986,"1"
"8-61","4 CANAL PK #505","1021","CNDO LUX",0,0,400300,400300," 47448/ 486",5/15/2006,"APARTMENT",812,"AP",1986,"1"
"8-61","4 CANAL PK #506","1021","CNDO LUX",0,0,543900,543900," 19051/ 528",5/16/1988,"APARTMENT",1220,"AP",1986,"1"
"8-61","4 CANAL PK #507","1021","CNDO LUX",0,0,601700,601700," 56011/ 210",12/8/2010,"APARTMENT",1235,"AP",1986,"1"
"8-61","4 CANAL PK #508","1021","CNDO LUX",0,0,401600,401600," 50071/  61",9/7/2007,"APARTMENT",816,"AP",1986,"1"
"8-61","4 CANAL PK #509","1021","CNDO LUX",0,0,409100,409100," 22905/ 357",2/11/1993,"APARTMENT",839,"AP",1986,"1"
"8-61","4 CANAL PK #510","1021","CNDO LUX",0,0,305900,305900," 31681/ 614",8/3/2000,"APARTMENT",528,"AP",1986,"1"
"8-61","4 CANAL PK #511","1021","CNDO LUX",0,0,549300,549300," 24276/ 160",2/16/1994,"APARTMENT",1207,"AP",1986,"1"
"8-61","4 CANAL PK #512","1021","CNDO LUX",0,0,601900,601900," 23134/ 569",5/3/1993,"APARTMENT",1331,"AP",1986,"1"
"8-61","4 CANAL PK #601","1021","CNDO LUX",0,0,682500,682500," 31158/ 232",3/5/1993,"APARTMENT",1386,"AP",1986,"1"
"8-61","4 CANAL PK #602","1021","CNDO LUX",0,0,620400,620400," 55285/ 493",8/31/2010,"APARTMENT",1205,"AP",1986,"1"
"8-61","4 CANAL PK #603","1021","CNDO LUX",0,0,306400,306400," 27838/ 161",2/28/1991,"APARTMENT",540,"AP",1986,"1"
"8-61","4 CANAL PK #604","1021","CNDO LUX",0,0,446200,446200," 24738/ 220",7/28/1994,"APARTMENT",838,"AP",1986,"1"
"8-61","4 CANAL PK #605","1021","CNDO LUX",0,0,436500,436500," 51348/ 141",6/24/2008,"APARTMENT",811,"AP",1986,"1"
"8-61","4 CANAL PK #606","1021","CNDO LUX",0,0,584800,584800," 19599/ 251",1/18/1989,"APARTMENT",1250,"AP",1986,"1"
"8-61","4 CANAL PK #607","1021","CNDO LUX",0,0,603000,603000," 57692/  52",10/21/2011,"APARTMENT",1215,"AP",1986,"1"
"8-61","4 CANAL PK #608","1021","CNDO LUX",0,0,413000,413000," 51551/ 172",8/8/2008,"APARTMENT",814,"AP",1986,"1"
"8-61","4 CANAL PK #609","1021","CNDO LUX",0,0,442600,442600," 28413/ 401",4/6/1998,"APARTMENT",828,"AP",1986,"1"
"8-61","4 CANAL PK #610","1021","CNDO LUX",0,0,327400,327400," 31199/ 209",7/15/1988,"APARTMENT",512,"AP",1986,"1"
"8-61","4 CANAL PK #611","1021","CNDO LUX",0,0,606200,606200," 55996/ 140",12/7/2010,"APARTMENT",1222,"AP",1986,"1"
"8-61","4 CANAL PK #612","1021","CNDO LUX",0,0,681300,681300," 27223/ 255",4/18/1997,"APARTMENT",1319,"AP",1986,"1"
"8-61","4 CANAL PK #701","1021","CNDO LUX",0,0,668900,668900," 43414/ 345",7/30/2004,"APARTMENT",1324,"AP",1986,"1"
"8-61","4 CANAL PK #702","1021","CNDO LUX",0,0,621800,621800," 56740/ 290",4/15/2011,"APARTMENT",1221,"AP",1986,"1"
"8-61","4 CANAL PK #703","1021","CNDO LUX",0,0,333900,333900,"/",9/30/1994,"APARTMENT",510,"AP",1986,"1"
"8-61","4 CANAL PK #704","1021","CNDO LUX",0,0,456300,456300," 19479/ 132",11/18/1988,"APARTMENT",838,"AP",1986,"1"
"8-61","4 CANAL PK #705","1021","CNDO LUX",0,0,444600,444600," 21064/ 519",3/27/1991,"APARTMENT",806,"AP",1986,"1"
"8-61","4 CANAL PK #706","1021","CNDO LUX",0,0,605400,605400," 56161/ 140",12/28/2010,"APARTMENT",1188,"AP",1986,"1"
"8-61","4 CANAL PK #707","1021","CNDO LUX",0,0,596900,596900," 50688/  74",2/8/2008,"APARTMENT",1165,"AP",1986,"1"
"8-61","4 CANAL PK #708","1021","CNDO LUX",0,0,451600,451600," 56985/ 548",6/14/2011,"APARTMENT",825,"AP",1986,"1"
"8-61","4 CANAL PK #709","1021","CNDO LUX",0,0,449800,449800," 40018/ 541",7/19/2003,"APARTMENT",820,"AP",1986,"1"
"8-61","4 CANAL PK #710","1021","CNDO LUX",0,0,306400,306400," 43724/ 111",9/16/2004,"APARTMENT",513,"AP",1986,"1"
"8-61","4 CANAL PK #711","1021","CNDO LUX",0,0,607000,607000," 58695/  78",3/16/2012,"APARTMENT",1187,"AP",1986,"1"
"8-61","4 CANAL PK #712","1021","CNDO LUX",0,0,638000,638000," 19051/ 263",5/16/1988,"APARTMENT",1255,"AP",1986,"1"
"8-61","4 CANAL PK #PH1","1021","CNDO LUX",0,0,670900,670900," 19735/ 350",3/12/1993,"APARTMENT",1297,"AP",1986,"1"
"8-61","4 CANAL PK #PH2","1021","CNDO LUX",0,0,602100,602100," 52795/ 534",5/18/2009,"APARTMENT",1138,"AP",1986,"1"
"8-61","4 CANAL PK #PH3","1021","CNDO LUX",0,0,300800,300800," 46334/ 408",10/24/2005,"APARTMENT",479,"AP",1986,"1"
"8-61","4 CANAL PK #PH4","1021","CNDO LUX",0,0,465600,465600," 49975/ 314",8/21/2007,"APARTMENT",791,"AP",1986,"1"
"8-61","4 CANAL PK #PH5","1021","CNDO LUX",0,0,443400,443400," 45978/ 207",8/30/2005,"APARTMENT",772,"AP",1986,"1"
"8-61","4 CANAL PK #PH6","1021","CNDO LUX",0,0,618900,618900," 49918/ 507",8/9/2007,"APARTMENT",1182,"AP",1986,"1"
"8-61","4 CANAL PK #PH7","1021","CNDO LUX",0,0,620000,620000," 26046/ 448",8/30/1994,"APARTMENT",1185,"AP",1986,"1"
"8-61","4 CANAL PK #PH8","1021","CNDO LUX",0,0,442500,442500," 20680/ 289",7/27/1990,"APARTMENT",775,"AP",1986,"1"
"8-61","4 CANAL PK #PH9","1021","CNDO LUX",0,0,448700,448700," 56297/ 125",1/18/2011,"APARTMENT",791,"AP",1986,"1"
"8-61","4 CANAL PK #PH10","1021","CNDO LUX",0,0,308700,308700," 40018/ 542",7/19/2003,"APARTMENT",501,"AP",1986,"1"
"8-61","4 CANAL PK #PH11","1021","CNDO LUX",0,0,642300,642300," 59634/ 226",7/30/2012,"APARTMENT",1142,"AP",1986,"1"
"8-61","4 CANAL PK #PH12","1021","CNDO LUX",0,0,650500,650500," 19043/ 213",5/12/1988,"APARTMENT",1251,"AP",1986,"1"
"8-61","6 CANAL PK #101/2","1021","CNDO LUX",0,0,415100,415100," 30299/ 437",6/16/1999,"APARTMENT",858,"AP",1986,"1"
"8-61","6 CANAL PK #102/2","1021","CNDO LUX",0,0,437300,437300," 43184/ 590",6/30/2004,"APARTMENT",834,"AP",1986,"1"
"8-61","6 CANAL PK #103/2","1021","CNDO LUX",0,0,412400,412400," 59781/ 454",8/17/2012,"APARTMENT",832,"AP",1986,"1"
"8-61","6 CANAL PK #104/2","1021","CNDO LUX",0,0,305000,305000," 57271/  75",8/9/2011,"APARTMENT",525,"AP",1986,"1"
"8-61","6 CANAL PK #105/2","1021","CNDO LUX",0,0,388700,388700," 51719/ 292",9/25/2008,"APARTMENT",777,"AP",1986,"1"
"8-61","6 CANAL PK #106/2","1021","CNDO LUX",0,0,378500,378500," 59011/ 189",5/1/2012,"APARTMENT",819,"AP",1986,"1"
"8-61","6 CANAL PK #107/2","1021","CNDO LUX",0,0,411900,411900,"/",9/30/1993,"APARTMENT",848,"AP",1986,"1"
"8-61","6 CANAL PK #201/2","1021","CNDO LUX",0,0,566300,566300," 27117/ 565",4/17/1992,"APARTMENT",1247,"AP",1986,"1"
"8-61","6 CANAL PK #202/2","1021","CNDO LUX",0,0,562500,562500," 51378/ 236",6/30/2008,"APARTMENT",1238,"AP",1986,"1"
"8-61","6 CANAL PK #203/2","1021","CNDO LUX",0,0,383000,383000," 42956/  37",6/2/2004,"APARTMENT",834,"AP",1986,"1"
"8-61","6 CANAL PK #204/2","1021","CNDO LUX",0,0,612400,612400," 57259/  12",8/5/2011,"APARTMENT",1285,"AP",1986,"1"
"8-61","6 CANAL PK #205/2","1021","CNDO LUX",0,0,505500,505500," 35966/  41",7/5/2002,"APARTMENT",1131,"AP",1986,"1"
"8-61","6 CANAL PK #206/2","1021","CNDO LUX",0,0,479600,479600," 50086/ 336",9/11/2007,"APARTMENT",1131,"AP",1986,"1"
"8-61","6 CANAL PK #207/2","1021","CNDO LUX",0,0,561600,561600," 41310/ 437",10/29/2003,"APARTMENT",1236,"AP",1986,"1"
"8-61","6 CANAL PK #208/2","1021","CNDO LUX",0,0,407500,407500," 57438/  49",9/13/2011,"APARTMENT",834,"AP",1986,"1"
"8-61","6 CANAL PK #209/2","1021","CNDO LUX",0,0,584600,584600," 57419/ 542",9/9/2011,"APARTMENT",1238,"AP",1986,"1"
"8-61","6 CANAL PK #210/2","1021","CNDO LUX",0,0,645500,645500," 31176/ 264",2/29/2000,"APARTMENT",1434,"AP",1986,"1"
"8-61","6 CANAL PK #301/2","1021","CNDO LUX",0,0,638700,638700," 51101/ 128",4/29/2008,"APARTMENT",1347,"AP",1986,"1"
"8-61","6 CANAL PK #302/2","1021","CNDO LUX",0,0,548500,548500," 51556/ 343",8/11/2008,"APARTMENT",1205,"AP",1986,"1"
"8-61","6 CANAL PK #303/2","1021","CNDO LUX",0,0,378200,378200," 49784/ 111",7/16/2007,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #304/2","1021","CNDO LUX",0,0,576000,576000," 31395/ 520",5/12/2000,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #305/2","1021","CNDO LUX",0,0,606300,606300," 50726/ 128",2/15/2008,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #306/2","1021","CNDO LUX",0,0,606300,606300," 54064/ 483",12/29/2009,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #307/2","1021","CNDO LUX",0,0,576000,576000," 31967/ 207",10/27/2000,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #308/2","1021","CNDO LUX",0,0,402300,402300," 50060/ 266",9/5/2007,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #309/2","1021","CNDO LUX",0,0,566900,566900," 35500/ 152",5/20/2002,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #310/2","1021","CNDO LUX",0,0,639600,639600," 22178/ 117",7/1/1992,"APARTMENT",1420,"AP",1986,"1"
"8-61","6 CANAL PK #401/2","1021","CNDO LUX",0,0,608700,608700," 46705/ 180",12/21/2005,"APARTMENT",1347,"AP",1986,"1"
"8-61","6 CANAL PK #402/2","1021","CNDO LUX",0,0,548900,548900," 55755/ 381",11/4/2010,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #403/2","1021","CNDO LUX",0,0,402300,402300," 20623/ 445",6/28/1990,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #404/2","1021","CNDO LUX",0,0,564700,564700," 55448/ 351",9/24/2010,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #405/2","1021","CNDO LUX",0,0,583200,583200,"/",12/4/2002,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #406/2","1021","CNDO LUX",0,0,583200,583200," 35238/ 486",4/9/2002,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #407/2","1021","CNDO LUX",0,0,576000,576000," 47929/ 555",8/3/2006,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #408/2","1021","CNDO LUX",0,0,401300,401300,"47092486",3/10/2006,"APARTMENT",815,"AP",1986,"1"
"8-61","6 CANAL PK #409/2","1021","CNDO LUX",0,0,548900,548900," 26442/ 544",6/27/1996,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #410/2","1021","CNDO LUX",0,0,639600,639600," 31076/ 138",1/24/2000,"APARTMENT",1420,"AP",1986,"1"
"8-61","6 CANAL PK #501/2","1021","CNDO LUX",0,0,608700,608700," 51683/ 422",9/15/2008,"APARTMENT",1347,"AP",1986,"1"
"8-61","6 CANAL PK #502/2","1021","CNDO LUX",0,0,548900,548900," 35580/  44",5/31/2002,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #503/2","1021","CNDO LUX",0,0,378200,378200," 51556/ 340",8/11/2008,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #504/2","1021","CNDO LUX",0,0,598800,598800," 47526/ 125",5/30/2006,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #505/2","1021","CNDO LUX",0,0,583200,583200," 28698/ 421",6/12/1998,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #506/2","1021","CNDO LUX",0,0,583200,583200," 40032/ 204",7/21/2003,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #507/2","1021","CNDO LUX",0,0,606000,606000," 33349/ 497",4/22/1999,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #508/2","1021","CNDO LUX",0,0,402300,402300," 50211/ 134",10/11/2007,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #509/2","1021","CNDO LUX",0,0,548900,548900," 26726/ 392",10/4/1996,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #510/2","1021","CNDO LUX",0,0,639600,639600," 29006/ 215",8/24/1998,"APARTMENT",1420,"AP",1986,"1"
"8-61","6 CANAL PK #601/2","1021","CNDO LUX",0,0,664300,664300," 55363/ 450",9/14/2010,"APARTMENT",1347,"AP",1986,"1"
"8-61","6 CANAL PK #602/2","1021","CNDO LUX",0,0,598800,598800," 45730/  85",7/28/2005,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #603/2","1021","CNDO LUX",0,0,414300,414300," 50531/  59",12/28/2007,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #604/2","1021","CNDO LUX",0,0,658500,658500," 58943/ 233",4/23/2012,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #605/2","1021","CNDO LUX",0,0,656100,656100," 58548/ 402",2/24/2012,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #606/2","1021","CNDO LUX",0,0,636400,636400," 32131/ 309",12/13/2000,"APARTMENT",1287,"AP",1986,"1"
"8-61","6 CANAL PK #607/2","1021","CNDO LUX",0,0,628500,628500," 59674/ 112",8/2/2012,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #608/2","1021","CNDO LUX",0,0,397900,397900," 35169/ 496",4/1/2002,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #609/2","1021","CNDO LUX",0,0,598800,598800," 42537/ 156",4/20/2004,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #610/2","1021","CNDO LUX",0,0,698300,698300," 32517/ 129",8/13/1999,"APARTMENT",1420,"AP",1986,"1"
"8-61","6 CANAL PK #701/2","1021","CNDO LUX",0,0,604900,604900," 36233/ 429",8/27/2002,"APARTMENT",1320,"AP",1986,"1"
"8-61","6 CANAL PK #702/2","1021","CNDO LUX",0,0,614700,614700," 60848/ 494",12/28/2012,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #703/2","1021","CNDO LUX",0,0,439800,439800," 58113/ 444",12/19/2011,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #704/2","1021","CNDO LUX",0,0,645200,645200," 45961/ 445",8/26/2005,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #705/2","1021","CNDO LUX",0,0,638900,638900," 55246/ 323",8/26/2010,"APARTMENT",1261,"AP",1986,"1"
"8-61","6 CANAL PK #706/2","1021","CNDO LUX",0,0,638900,638900," 55127/ 179",8/6/2010,"APARTMENT",1261,"AP",1986,"1"
"8-61","6 CANAL PK #707/2","1021","CNDO LUX",0,0,643100,643100," 60849/ 548",12/28/2012,"APARTMENT",1270,"AP",1986,"1"
"8-61","6 CANAL PK #708/2","1021","CNDO LUX",0,0,449000,449000," 25489/ 322",7/14/1995,"APARTMENT",818,"AP",1986,"1"
"8-61","6 CANAL PK #709/2","1021","CNDO LUX",0,0,612600,612600," 54914/ 519",6/29/2010,"APARTMENT",1206,"AP",1986,"1"
"8-61","6 CANAL PK #710/2","1021","CNDO LUX",0,0,701800,701800," 20619/ 428",6/26/1990,"APARTMENT",1326,"AP",1986,"1"
"8-61","6 CANAL PK #PH1/2","1021","CNDO LUX",0,0,664600,664600,"02P0274",3/11/2002,"APARTMENT",1284,"AP",1986,"1"
"8-61","6 CANAL PK #PH102","1021","CNDO LUX",0,0,704400,704400," 59682/  274",8/3/2012,"APARTMENT",1300,"AP",1986,"1"
"8-61","6 CANAL PK #PH2/2","1021","CNDO LUX",0,0,607700,607700," 60786/ 135",12/20/2012,"APARTMENT",1158,"AP",1986,"1"
"8-61","6 CANAL PK #PH3/2","1021","CNDO LUX",0,0,446300,446300," 42662/ 413",4/30/2004,"APARTMENT",766,"AP",1986,"1"
"8-61","6 CANAL PK #PH4/2","1021","CNDO LUX",0,0,614400,614400," 36297/ 223",9/3/2002,"APARTMENT",1170,"AP",1986,"1"
"8-61","6 CANAL PK #PH5/2","1021","CNDO LUX",0,0,716100,716100," 45516/ 366",6/30/2005,"APARTMENT",1261,"AP",1986,"1"
"8-61","6 CANAL PK #PH6/2","1021","CNDO LUX",0,0,632900,632900," 27247/ 557",4/29/1997,"APARTMENT",1261,"AP",1986,"1"
"8-61","6 CANAL PK #PH7/2","1021","CNDO LUX",0,0,614400,614400," 32959/ 570",5/30/2001,"APARTMENT",1170,"AP",1986,"1"
"8-61","6 CANAL PK #PH8/2","1021","CNDO LUX",0,0,439000,439000," 27574/ 288",8/14/1997,"APARTMENT",766,"AP",1986,"1"
"8-61","6 CANAL PK #PH9/2","1021","CNDO LUX",0,0,627700,627700," 43736/ 282",9/17/2004,"APARTMENT",1158,"AP",1986,"1"
"8-70","24 FIRST ST","392","COM-UDV-LAND",7599.9998844,130900,0,130900," 27978/ 415",6/10/1994,"",,"",0,""
"8-75","2-12 CANAL PK","346","INV-OFFICE",61780.000194,14746900,37226100,51973000," 47840/  24",7/21/2006,"OFFICE",100499,"3",1998,"5"
"8-76","1 CANAL PK","346","INV-OFFICE",30399.9999732,6721400,15800900,22522300," 27978/ 415",12/15/1997,"OFFICE",105560,"3",1988,"5"
"8-86","60-68 FIRST ST","323","SH-CNTR/MALL",42561.0001872,6516900,9026100,15543000," 19824/ 293",5/17/1989,"DEPT-STORE",100062,"1",1990,"3"
