"ML","Location","UseCode","UseDescription","LandArea","TotalAppraisedLandValue","TotalAppraisedImprovements","TotalAppraisedParcelValue","BookPage","SaleDate","StyleDesc","GrossArea","Occupancy","AYBYrBuilt","BldgStories"
"175-65","2 POTTER PK #1","102","CONDOMINIUM",0,0,486700,486700," 40653/ 610",8/27/2003,"FLAT",1048,"FL",1880,"1"
"175-65","2 POTTER PK #2","102","CONDOMINIUM",0,0,480400,480400," 30054/ 135",4/15/1999,"FLAT",1100,"FL",1880,"1"
"175-65","2 POTTER PK #3","102","CONDOMINIUM",0,0,485400,485400," 43255/ 389",7/9/2004,"FLAT",1011,"FL",1880,"1"
"175-65","2 POTTER PK #4","1028","CNDO-RES-PKG",0,19500,20000,39500," 30054/ 137",4/15/1999,"PARKING",0,"",1880,"0"
"175-66","28 HURLBUT ST","199","CONDO-BLDG",5706.9998964,0,0,0,"/",1/1/1900,"",14736,"",1880,"3"
"175-66","28 HURLBUT ST #1","102","CONDOMINIUM",0,0,508700,508700," 54079/ 308",12/30/2009,"APARTMENT",1100,"",1880,"1"
"175-66","28 HURLBUT ST #2","102","CONDOMINIUM",0,0,575000,575000," 57058/ 544",6/28/2011,"APARTMENT",1100,"AP",1880,"1"
"175-66","28 HURLBUT ST #3","102","CONDOMINIUM",0,0,508700,508700," 60529/ 404",11/20/2012,"APARTMENT",1100,"AP",1880,"1"
"175-66","28 HURLBUT ST #4","102","CONDOMINIUM",0,0,565200,565200," 57351/ 377",8/26/2011,"APARTMENT",1100,"",1880,"1"
"175-66","28 HURLBUT ST #5","102","CONDOMINIUM",0,0,569200,569200," 45619/  19",7/15/2005,"APARTMENT",1100,"AP",1880,"1"
"175-66","28 HURLBUT ST #6","102","CONDOMINIUM",0,0,508700,508700," 24414/ 257",3/31/1994,"APARTMENT",1100,"",1880,"1"
"175-67","26 HURLBUT ST","199","CONDO-BLDG",4921.0002072,0,0,0,"/",1/1/1900,"",14324,"",1880,"3"
"175-67","26 HURLBUT ST #1","102","CONDOMINIUM",0,0,484500,484500," 12930/ 593",2/4/1976,"APARTMENT",1100,"",1880,"1"
"175-67","26 HURLBUT ST #2","102","CONDOMINIUM",0,0,578500,578500," 25243/ 508",1/1/1900,"APARTMENT",1100,"",1880,"2"
"175-67","26 HURLBUT ST #3","102","CONDOMINIUM",0,0,484500,484500," 28256/  33",3/9/1998,"APARTMENT",1100,"",1880,"1"
"175-67","26 HURLBUT ST #4","102","CONDOMINIUM",0,0,504700,504700," 23244/ 234",6/1/1993,"APARTMENT",1100,"AP",1880,"1"
"175-67","26 HURLBUT ST #5","102","CONDOMINIUM",0,0,484500,484500," 22647/ 593",11/23/1992,"APARTMENT",1100,"",1880,"1"
"175-67","26 HURLBUT ST #6","102","CONDOMINIUM",0,0,615400,615400," 57050/  24",6/27/2011,"APARTMENT",1100,"AP",1880,"1"
"175-68","1734 MASSACHUSETTS AVE","340","GEN-OFFICE",10518.9999156,492300,1827100,2319400," 43249/ 255",7/8/2004,"OFFICE",6366,"2",1885,"2.5"
