code,description
CDPW,City of Cambridge
MWRA,MWRA
DCR,DCR
SOM,Somerville
BEL,Belmont
MBTA,MBTA
UNK,Unknown
OTH,Other
HVD,Harvard
MIT,MIT
MAHWY,Mass Highway
DPW,Cambridge Public Works
PRI,Private Developer
