Database,Source Dataset,Source Name,Destination Name,Destination Path
cambridge,,HYDRO_Floodplains,HYDRO_Floodplains,Hydro\Floodplains
cambridge,,HYDRO_WaterBodies,HYDRO_WaterBodies,Hydro\Water_Bodies
cambridge,,HYDRO_Wetlands,HYDRO_Wetlands,Hydro\Wetlands
cambridge,,INFRA_Billboards,INFRA_Billboards,Infra\Billboards
cambridge,,INFRA_Drainage,INFRA_Drainage,Infra\Drainage
cambridge,,INFRA_OverheadSigns,INFRA_OverheadSigns,Infra\Overhead_Signs
cambridge,,INFRA_ParkBenches,INFRA_ParkBenches,Infra\Park_Benches
cambridge,,INFRA_StreetLights,INFRA_StreetLights2010Flyover,Infra\Street_Lights
cambridge,,INFRA_StreetLightsNSTAR2005,INFRA_StreetLightsNSTAR2005,Infra\Street_Lights
cambridge,,INFRA_UtilityFacilities,INFRA_UtilityFacilities,Infra\Utility_Facilities
cambridge,,INFRA_UtilityPoles,INFRA_UtilityPoles,Infra\Utility_Poles
cambridge,,LANDMARK_DayCareFacilities,LANDMARK_DayCareFacilities,Landmark\Day_Care_Facilities
cambridge,,LANDMARK_ElderlyFacilities,LANDMARK_ElderlyFacilities,Landmark\Elderly_Facilities
cambridge,,LANDMARK_MemorialPoles,LANDMARK_MemorialPoles,Landmark\Memorial_Poles
cambridge,,LANDMARK_MunicipalBuildings,LANDMARK_MunicipalBuildings,Landmark\Municipal_Buildings
cambridge,,LANDMARK_PlacesOfWorship,LANDMARK_PlacesOfWorship,Landmark\Places_of_Worship
cambridge,,LANDMARK_PostOffices,LANDMARK_PostOffices,Landmark\Post_Offices
cambridge,,LANDMARK_PrivateSchools,LANDMARK_PrivateSchools,Landmark\Private_Schools
cambridge,,LANDMARK_PublicLibraries,LANDMARK_PublicLibraries,Landmark\Public_Libraries
cambridge,,LANDMARK_PublicSchools,LANDMARK_PublicSchools,Landmark\Public_Schools
cambridge,,LANDMARK_YouthCenters,LANDMARK_YouthCenters,Landmark\Youth_Centers
cambridge,,PUBLICSAFETY_EmergencyShelters,PUBLICSAFETY_EmergencyShelters,Public_Safety\Emergency_Shelters
cambridge,,PUBLICSAFETY_FireStations,PUBLICSAFETY_FireStations,Public_Safety\Fire_Stations
cambridge,,PUBLICSAFETY_PoliceStation,PUBLICSAFETY_PoliceStation,Public_Safety\Police_Stations
cambridge,,RECREATION_BikeFacilities,RECREATION_BikeFacilities,Recreation\Bike_Facilities
cambridge,,RECREATION_CommunityGardens,RECREATION_CommunityGardens,Recreation\Community_Gardens
cambridge,,RECREATION_OpenSpace,RECREATION_OpenSpace,Recreation\Open_Space
cambridge,,RECREATION_Playgrounds,RECREATION_Playgrounds,Recreation\Playgrounds
cambridge,,RECREATION_PublicPools,RECREATION_PublicPools,Recreation\Public_Pools
cambridge,,RECREATION_SportsAreas,RECREATION_SportsAreas,Recreation\Sports_Areas
cambridge,,RECREATION_Waterplay,RECREATION_Waterplay,Recreation\Waterplay
cambridge,,TRAFFIC_CommercialParking,TRAFFIC_CommercialParking,Traffic\Commercial_Parking
cambridge,,TRAFFIC_MeteredParkingSpaces,TRAFFIC_MeteredParkingSpaces,Traffic\Metered_Parking_Spaces
cambridge,,TRAFFIC_MunicipalParkingLots,TRAFFIC_MunicipalParkingLots,Traffic\Municipal_Parking_Lots
